['0.000112932604736', 'steps']
['0.000136174542843', 'short']
['0.000166103013797', 'wrong']
['0.000169865026168', 'proved']
['0.00017094017094', 'sources']
['0.000213399620102', 'live']
['0.000236850127805', 'prevent']
['0.000258652094718', 'effective']
['0.000261683959232', 'river']
['0.000331511839709', 'rain']
['0.000354102666323', 'demand']
['0.000367941712204', 'avoid']
['0.000367941712204', 'man']
['0.00042049501691', 'developing']
['0.000612058251061', 'people']
['0.000635508758765', 'quickly']
['0.000891034165035', 'population']
['0.0010166794057', 'great']
['0.00101857738221', 'makes']
['0.00159697957461', 'waster']
['0.00209225118316', 'polluted']
['0.00244444444444', 'limited']
['0.00256110584964', 'stop']
['0.00264170713523', 'mankind']
['0.00316813323304', 'establish']
['0.00433580784655', 'worst']
['0.00568440566627', 'water']
['1.41272868546e-06', 'dialy']
['1.41272868546e-06', 'fresh']
['1.41272868546e-06', 'indispensable']
['1.68334710617e-05', 'increased']
['5.79218761037e-05', 'pollution']
['5.79218761037e-05', 'shortage']
['7.20491629583e-05', 'laws']
